name,price,age,sp_school,sp_subway,sp_hospital,sp_mall,sp_office
保利罗兰香谷,60050,9,2925.639,2422.632,2179.159,9380.601,6653.241
金隅瑞和园,75225,10,712.354,650.227,1124.777,631.714,5995.552
新世界家园,146336,18,1460.487,758.206,726.191,717.183,1373.397
三环新城7号院,62283,19,1534.551,1899.329,1458.029,3257.127,2688.677
中海瓦尔登湖,61556,16,0.0,2923.915,4511.524,4862.599,7607.465
国融国际,39631,14,2687.532,930.009,3475.774,8249.701,6293.493
万科四季花城,45682,12,1101.482,948.01,1111.121,418.632,722.399
金泰城丽湾,94992,15,138.347,1440.413,1042.119,1816.479,2318.072
四合上院,173553,11,21110.824,54392.756,45131.973,57162.685,83342.921
石榴园南里小区,54254,21,21110.824,54392.756,45131.973,57162.685,83342.921
角门东里小区,56985,29,8676.275,34319.254,24542.677,37089.183,63269.419
华业玫瑰东方,115695,16,8428.002,34070.981,24294.404,36840.91,63021.146
北街家园(六区),56364,14,8676.275,34319.254,24542.677,37089.183,63269.419
石榴园北里小区,55532,21,380.533,1189.047,709.334,1621.981,3731.963
天恒别墅山,58080,14,3549.652,27700.578,4178.943,5361.572,5374.474
华润公元九里,67669,6,10536.296,34141.116,15861.898,34975.076,42711.7
上林世家,123251,9,8428.002,34070.981,24294.404,36840.91,63021.146
康泽佳苑,39855,12,2116.416,2317.346,1535.487,8373.05,10593.497
凤凰城(一期二期四期),122897,20,17349.017,93560.35,15595.074,95598.964,94902.735
太平桥东里小区,75331,28,1567.927,825.72,2069.626,4225.064,4620.661
翠海明苑,56907,17,279.592,1387.062,4400.515,1791.692,7458.72
银河湾,100927,11,2387.796,2839.018,2791.205,2807.699,33573.859
天秀花园古月园,83474,19,1680.267,1127.687,1080.533,5243.919,2469.751
大方居,36383,12,692.45,1385.921,3297.143,1153.565,1491.627
北亚花园,37083,24,0.0,4268.776,2822.549,10361.898,12738.837
裘马都,112777,14,2051.487,1678.435,1695.612,2789.497,1933.661
金科王府,39203,11,8428.002,34070.981,24294.404,36840.91,63021.146
海特花园,52250,24,1500.611,1341.288,793.138,1783.28,5549.907
鹏润家园,75429,19,234.695,1360.056,997.683,2233.083,1904.778
泛海国际香海园,124365,14,428.173,2772.37,1022.767,1138.875,5042.652
拂林园,72686,19,317.227,1375.209,1578.323,1413.142,638.293
万城华府龙园,179435,16,0.0,371.044,859.559,1680.003,336.994
天时名苑,52775,12,147.883,1918.115,2615.408,3476.143,4177.549
领秀硅谷,90838,17,17349.017,93560.35,15595.074,95598.964,94902.735
北京城建福润四季A区,54974,8,343.734,1856.602,1437.926,2131.143,2423.525
天通西苑一区,42598,21,446.567,1147.147,0.0,2776.245,5069.822
西辛南区,38414,12,10536.296,34141.116,15861.898,34975.076,42711.7
富力爱丁堡公馆,122271,17,17349.017,93560.35,15595.074,95598.964,94902.735
天通中苑(1-37号楼),52413,14,1396.245,1405.886,1833.532,4240.338,5987.245
润枫领尚,48142,10,2824.746,2578.156,4547.789,11806.192,5189.514
后现代城(A区),80733,14,1820.475,2216.029,3622.475,2905.848,2360.128
通惠家园惠民园,65550,21,10536.296,34141.116,15861.898,34975.076,42711.7
凯旋城,99919,16,2959.759,2331.747,2812.364,2720.725,4616.687
天籁轩,22923,13,1243.906,173.682,1624.557,2269.934,8269.456
温泉凯盛家园,64641,8,1959.702,3052.05,2947.505,14114.813,661.497
富力阳光美园,58136,12,17349.017,93560.35,15595.074,95598.964,94902.735
世纪金色嘉园,83431,18,406.12,767.076,1098.284,1555.987,2374.366
首开畅心园,50830,12,172.747,474.254,2217.046,2458.66,223.601
林语别墅,64622,7,1679.562,3203.043,4955.81,8345.246,5982.444
华远九都汇,96688,11,21110.824,54392.756,45131.973,57162.685,83342.921
五福玲珑居,64788,10,21110.824,54392.756,45131.973,57162.685,83342.921
恒盛波尔多小镇(南区),25838,12,8728.085,32332.905,14053.687,33166.865,40903.489
新康家园,63365,18,2579.011,1034.843,2784.98,6845.335,6125.695
清景园,74459,25,1068.015,678.453,964.776,3434.841,4841.259
格调小区,119826,19,0.0,656.048,1898.605,2017.991,1574.826
领秀翡翠山,46358,4,1308.481,1258.182,1557.02,2862.318,2611.46
万城华府尚园,178853,16,433.49,6.592,495.107,1315.551,737.533
颐慧佳园,125979,13,942.993,1629.438,644.188,2844.49,2112.826
丽都水岸,98817,21,992.819,1123.104,1214.171,1484.978,0.0
天通西苑二区,45051,20,1150.217,1195.729,703.65,2824.827,5229.654
北街家园(八区),53088,10,8676.275,34319.254,24542.677,37089.183,63269.419
北京银泰中心,163765,17,214.432,618.584,2351.001,1166.817,738.724
庄胜二期,160476,17,4546.12,3574.648,3696.237,4971.514,4588.938
紫荆豪庭,63309,18,17349.017,93560.35,15595.074,95598.964,94902.735
嘉和丽园公寓,73251,21,1887.268,940.305,2421.435,1821.095,2542.716
西坝河东里,80927,26,8676.275,34319.254,24542.677,37089.183,63269.419
SOHO北京公馆,98037,14,535.386,1029.89,1593.566,1029.89,633.339
垡头翠成馨园(A区),55169,18,1629.662,1726.471,2079.675,8146.128,8392.81
檀香山,143601,16,2599.077,4169.004,3291.926,3300.885,4950.273
天畅园,66225,15,260.922,1302.236,1200.128,1169.136,1196.101
加州水郡(东区),31849,17,8728.085,32332.905,14053.687,33166.865,40903.489
新村二里,51587,36,581.832,712.681,291.309,4501.73,672.731
澳林春天(四期),110712,22,24092.984,57374.916,48114.133,60144.845,86325.081
丽水嘉园,95242,14,10536.296,34141.116,15861.898,34975.076,42711.7
育新花园西里,22338,11,17349.017,93560.35,15595.074,95598.964,94902.735
南庭新苑南区,52250,11,935.466,952.891,4836.66,1323.166,8134.071
仓上小区(五里仓社区),34267,28,815.621,2487.255,1126.249,2625.526,3451.1
宝盛里观林园,92067,12,476.879,2871.494,1865.856,3287.038,3729.07
领秀慧谷A区(三区),59729,3,1663.985,757.603,2792.985,2879.005,5503.776
西山壹号院(南区),126168,11,21110.824,54392.756,45131.973,57162.685,83342.921
富力又一城(A区),53894,18,17349.017,93560.35,15595.074,95598.964,94902.735
万科长阳天地,45054,5,8428.002,34070.981,24294.404,36840.91,63021.146
首开康乃馨城,37628,10,413.341,896.529,1651.166,4390.404,1413.463
蓝桥驿苑,32418,8,21110.824,54392.756,45131.973,57162.685,83342.921
合生国际花园(一期),109741,14,10536.296,34141.116,15861.898,34975.076,42711.7
翠福园,37209,10,1886.604,4790.977,5906.853,8218.734,8605.47
MOMA万万树,58121,14,8728.085,32332.905,14053.687,33166.865,40903.489
西罗园四区,60584,21,1581.375,2472.261,2993.393,3604.161,4988.246
康城花园别墅,51344,20,24092.984,57374.916,48114.133,60144.845,86325.081
碧水云天颐园(西区),178718,18,237.019,261.28,749.795,1428.443,520.482
大屯里小区(北区),79307,19,2390.12,2730.793,2619.039,2946.681,4154.324
山语城(一区),43714,7,268.97,7882.175,2056.058,7977.738,10198.185
友谊社区,115104,19,17349.017,93560.35,15595.074,95598.964,94902.735
金晖嘉园,134774,21,723.832,713.706,937.187,1040.144,1236.085
中建国际港,55069,7,1286.292,1012.917,749.671,3791.866,987.374
中信国安府,178442,5,10536.296,34141.116,15861.898,34975.076,42711.7
